funders,count
Georgia Institute of Technology,2
Tsinghua University.,2
Australian Synchrotron,2
Sun Yat-sen University,2
RWTH Aachen University,2
Stanford University,2
Natural Science Foundation of Shanghai,2
National Institute for Materials Science,,2
Santen,2
University of Connecticut,2
Thüringer Aufbaubank,2
University College London,2
Ministry of Economy,,2
Natural Science Foundation of Anhui Province,2
Japan Science and Technology Agency.,2
Natural Science Foundation of Jiangsu Province,2
Natural Science Foundation of Gansu Province,,2
National Renewable Energy Laboratory,,2
Jilin University,2
South Dakota State University,,2
Shandong University,2
National and Kapodistrian University of Athens.,2
Lawrence Berkeley National Laboratory,,2
City University of Hong Kong,,2
Korea Basic Science Institute,2
University College London,,2
National Science Foundation,,2
Korea University,,2
Jiangsu University,,1
Konkuk University,1
Harvard University,1
Korea Institute of Science and Technology.,1
Beijing Institute of Technology,,1
Toyohashi University of Technology,1
National and Kapodistrian University of Athens,1
Pukyong National University,,1
National University of Singapore,,1
SPIE,1
World Health Organization,1
McGill University,1
High Energy Accelerator Research Organization,1
Vehicle Technologies Program,1
Battelle,1
RIKEN,1
University of Minnesota,1
National Institutes of Health,,1
Purdue University,1
National Institute for Materials Science,1
Gunma University,,1
Ministry of Knowledge Economy,1
Toyohashi University of Technology.,1
Chonnam National University,,1
GE Healthcare,,1
Case Western Reserve University,1
Ministry of Science, ICT and Future Planning,1
Beijing Municipal Commission of Education,1
Pennsylvania State University,1
Vattenfall,1
Jiangsu Normal University,1
University of Hong Kong,1
China Academy of Engineering Physics,1
Tata Institute of Fundamental Research,,1
Southwest Petroleum University,1
Northwestern Polytechnical University,,1
Sungkyunkwan University,1
Hunan University,,1
Hong Kong University of Science and Technology,1
Osaka University,,1
Osaka University.,1
East China Normal University,,1
Yonsei University,1
3M,1
Army Research Office,1
Dongguk University,1
Science and Technology Commission of Shanghai Municipality,1
Carnegie Mellon University;,1
Armstrong Flight Research Center;,1
Nanjing University of Aeronautics and Astronautics,,1
Delft University of Technology,1
Rice University,1
China University of Geosciences, Wuhan,1
University of British Columbia,1
Royal Swedish Academy of Sciences,1
Senior Talent Foundation of Jiangsu University,1
University of Warwick,1
Zhejiang University,,1
Kongju National University,1
Carl Tryggers Stiftelse för Vetenskaplig Forskning,1
China Scholarship Council,1
Seoul National University,,1
Biological and Environmental Research,1
City University of Hong Kong,1
Seoul National University.,1
Huazhong University of Science and Technology,1
European Synchrotron Radiation Facility,1
Weizmann Institute of Science,,1
Northwestern University,,1
Chosun University,,1
University of Patras,,1
Virginia Commonwealth University,,1
University of Illinois at Chicago,,1
Imperial College London,,1
Sichuan University,1
Kyungpook National University,1
BASF,1
Mars,1
Shell,1
Northwest University,1
Kunsan National University,1
Natural Science Foundation of Jiangxi Province,1
Nankai University,1
Beihang University,1
Changchun Institute of Applied Chemistry,1
Glenn Research Center;,1
Fudan University,,1
Texas Instruments,1
University of Western Australia,,1
Beijing Nova Program,1
University of Iowa,,1
Natural Science Foundation of Hubei Province,1
North Carolina State University,1
Elan,1
Australian Synchrotron,,1
Siemens,1
Microsoft,1
Welch Foundation,1
South China University of Technology,,1
Oak Ridge National Laboratory,1
National Highway Traffic Safety Administration,1
Technische Universität Berlin,,1
University of Southampton.,1
University of Southampton,,1
Hasler Stiftung,,1
Beijing Municipal Natural Science Foundation,1
Ministry of Human Resource Development,1
Ocean University of China,1
STMicroelectronics,1
University of Maryland,,1
Università degli Studi di Padova,,1
China Academy of Engineering Physics,,1
Forschungszentrum Jülich,1
Michigan State University,,1
Australian National Fabrication Facility,1
Louisiana State University,1
Ministry of Science ICT and Future Planning,1
University of Wollongong,1
North Carolina Agricultural and Technical State University,,1
Changchun Institute of Applied Chemistry,,1
Zhengzhou University,1
Dalian Institute of Chemical Physics,,1
Fujian Institute of Research on the Structure of Matter,,1
Oak Ridge National Laboratory,,1
Chonbuk National University,,1
Tsinghua National Laboratory for Information Science and Technology.,1
Institute of Physics,,1
Southwest Jiaotong University,1
City University of New York,1
Natural Science Foundation of Huizhou University,1
Johns Hopkins University,1
Fonds pour la Formation à la Recherche dans l’Industrie et dans l’Agriculture,1
Bayerische Forschungsstiftung,1
Ministry of Education.,1
Shandong Province,,1
Engineering and Physical Sciences Research Council,1
Brown University,1
Institute for Molecular Science,,1
Massachusetts Institute of Technology.,1
University of Michigan,,1
Massachusetts Institute of Technology,,1
University of Michigan.,1
Japan Science and Technology Agency,,1
NIST Center for Neutron Research.,1
Education Department of Sichuan Province,1
Alexander von Humboldt-Stiftung,1
National Institute of General Medical Sciences,1
General Electric,1
Hydro-Québec,1
Beijing Municipal Education Commission,1
Federal Aviation Administration,1
University of Illinois at Chicago,1
Qatar Foundation,1
Optical Society,1
National Institute for Occupational Safety and Health,1
Northwestern Polytechnical University,1
University of New Mexico,1
Biological and Environmental Research,,1
Lawrence Berkeley National Laboratory.,1
Huawei Technologies,1
Ministry of Science, ICT, and Future Planning,1
Natural Science Foundation of Shaanxi Province,1
Australian Nuclear Science and Technology Organisation,1
U.S. Army,1
Ames Research Center.,1
Hanbat National University,1
National Institutes of Natural Sciences,1
Excellent Young Talents Fund Program of Higher Education Institutions of Anhui Province,1
Natural Science Foundation of Fujian Province,,1
Sandia National Laboratories,1
Office of Naval Research,1
"Queen's University",1
ExxonMobil Research and Engineering Company,,1
Bundesanstalt für Materialforschung und -Prüfung,,1
University of Texas at Austin,1
Seventh Framework Programme,1
